name,description,image1,image2,category1,category2,location1,location2,location3,externalUrl1,externalUrl2,externalUrl3,externalUrl4,externalUrl5,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,tag21,tag22,tag23,tag24,tag25,price,discount,isRecommended
오사카 유니버설 스튜디오 재팬 입장권,USJ 공식 입장권으로 닌텐도 월드·해리포터 존 등 인기 어트랙션 이용.,,,티켓/입장권,테마파크,일본,오사카,,https://myrealt.rip/Njia40,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141019&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F46604-universal-studios-japan-e-ticket-osaka-qr-code-direct-entry%2F,https://www.kkday.com/ko/product/2247-universal-studios-japan-ticket-osaka?cid=19400,https://gyg.me/4eP5MCfw,https://kr.trip.com/travel-guide/attraction/osaka/universal-studios-japan-81012?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076618,USJ,Universal Studios Japan,오사카 유니버설,닌텐도 월드,해리포터,오사카,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,대기줄단축,현장교환,가족여행,커플여행,,,TRUE
오사카 유니버설 스튜디오 재팬 입장권 + 닌텐도 확약권,USJ 공식 입장권으로 닌텐도 월드·해리포터 존 등 인기 어트랙션 이용.,,,티켓/입장권,테마파크,일본,오사카,,https://myrealt.rip/Njib27,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141019&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F46604-universal-studios-japan-e-ticket-osaka-qr-code-direct-entry%2F,,https://gyg.me/zcnej1Eo,,USJ,Universal Studios Japan,오사카 유니버설,닌텐도 월드,해리포터,오사카,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,대기줄단축,현장교환,가족여행,커플여행,,,TRUE
오사카 유니버셜 스튜디오 재팬 익스프레스 패스 4/7,대기시간을 단축하는 Express Pass로 인기 어트랙션 빠른 이용.,,,교통/패스,지하철/시티패스,일본,오사카,,,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141023&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F3407-universal-studios-japan-express-pass-osaka%2F,https://www.kkday.com/ko/product/18618-universal-studios-japan-express-pass-osaka?cid=19400,https://gyg.me/5RuLB92e,https://kr.trip.com/travel-guide/attraction/osaka/universal-studios-japan-81012?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,USJ 익스프레스,Express Pass,빠른입장,대기줄단축,오사카,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,현장교환,가족여행,커플여행,자유여행,핫플,,,TRUE
오사카 유니버셜 스튜디오 재팬 익스프레스 패스 4,대기시간을 단축하는 Express Pass로 인기 어트랙션 빠른 이용.,,,교통/패스,지하철/시티패스,일본,오사카,,https://myrealt.rip/Njil8d,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141023&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F3407-universal-studios-japan-express-pass-osaka%2F,https://www.kkday.com/ko/product/18618-universal-studios-japan-express-pass-osaka?cid=19400,https://gyg.me/5RuLB92e,https://kr.trip.com/travel-guide/attraction/osaka/universal-studios-japan-81012?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,USJ 익스프레스,Express Pass,빠른입장,대기줄단축,오사카,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,현장교환,가족여행,커플여행,자유여행,핫플,,,TRUE
오사카 유니버셜 스튜디오 재팬 익스프레스 패스 7,대기시간을 단축하는 Express Pass로 인기 어트랙션 빠른 이용.,,,교통/패스,지하철/시티패스,일본,오사카,,https://myrealt.rip/Njina1,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141023&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F3407-universal-studios-japan-express-pass-osaka%2F,https://www.kkday.com/ko/product/18618-universal-studios-japan-express-pass-osaka?cid=19400,https://gyg.me/5RuLB92e,https://kr.trip.com/travel-guide/attraction/osaka/universal-studios-japan-81012?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,USJ 익스프레스,Express Pass,빠른입장,대기줄단축,오사카,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,현장교환,가족여행,커플여행,자유여행,핫플,,,TRUE
오사카 주유패스,지하철·버스 무제한과 주요 관광지 무료입장 혜택의 시티패스.,,,교통/패스,지하철/시티패스,일본,오사카,,https://myrealt.rip/Njio0c,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141030&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F82312-amazing-pass-osaka%2F,https://www.kkday.com/ko/product/12156-osaka-amazing-pass-e-ticket-japan?cid=19400,,https://kr.trip.com/things-to-do/detail/48361291?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,Osaka Amazing Pass,오사카패스,무료입장,무제한,오사카,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,대기줄단축,현장교환,가족여행,커플여행,자유여행,,,TRUE
오사카 난카이 라피트 익스프레스 티켓 (간사이 공항 - 난바역),KIX–난바 구간 특급열차 라피트 지정석 e티켓.,,,교통/패스,공항열차/특급,일본,오사카,,https://myrealt.rip/Njiq72,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141033&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F599-kansai-airport-namba-train-ticket-osaka%2F,https://www.kkday.com/ko/product/19691-nankai-rapit-airport-express-kix-to-osaka?cid=19400,,https://kr.trip.com/things-to-do/detail/57078589?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,라피트,Rapi:t,난카이,공항열차,오사카,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,대기줄단축,현장교환,가족여행,커플여행,자유여행,,,TRUE
오사카 지하철 패스,오사카 메트로/시티버스 무제한 탑승권(1~2일).,,,교통/패스,지하철/시티패스,일본,오사카,,https://myrealt.rip/NjjO08,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141034&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F11515-osaka-metro-1-2-day-pass-osaka%2F,https://www.kkday.com/ko/product/115045-osaka-metro-and-osaka-city-bus-day-pass-unlimited-rides-japan?cid=19400,,https://kr.trip.com/things-to-do/detail/50558277?Allianceid=5017790&SID=92571095&trip_sub1=&trip_sub3=D6076632,Osaka Metro Pass,오사카 메트로,무제한,교통패스,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,대기줄단축,현장교환,가족여행,커플여행,자유여행,핫플,,,TRUE
우메다 스카이 빌딩 공중정원 전망대 입장권,,,,티켓/입장권,전망대,일본,우메다,,https://myrealt.rip/NjjP09,,https://www.kkday.com/ko/product/22352-night-views-at-umeda-sky-building-kuchu-teien-observatory-osaka?cid=19400,https://gyg.me/amQmcBpw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
오사카 아베노 하루카스 300 전망대 입장권,300m 스카이덱에서 오사카 시내 파노라마 감상.,,,티켓/입장권,전망대,일본,오사카,,https://myrealt.rip/NjjQc3,https://affiliate.klook.com/redirect?aid=65706&aff_adid=1141036&k_site=https%3A%2F%2Fwww.klook.com%2Fko%2Factivity%2F2424-harukas-300-observatory-ticket-osaka%2F,https://www.kkday.com/ko/product/19513-osaka-abeno-harukas-300-observatory-tickets-japan?cid=19400,https://gyg.me/c1Bmjqwb,,Abeno Harukas,하루카스300,오사카 전망대,입장권,할인,예매,티켓,즉시확정,QR입장,무료취소,모바일바우처,전자티켓,운영시간,가격,후기,추천,줄없이,스킵더라인,대기줄단축,현장교환,가족여행,커플여행,자유여행,핫플,베스트셀러,,,TRUE
